idx,term,degree,is_noun_only,pos_tags,specificity,suggested,reason
439,approach,9,True,NOUN,4.1866,False,
557,establish,9,False,VERB,4.1866,False,
630,app,9,True,PROPN,4.1866,False,
657,shoe,9,True,NOUN,4.1866,False,
711,hope,9,True,NOUN,4.1866,False,
712,resource,9,True,NOUN,4.1866,False,
729,share,9,True,NOUN,4.1866,False,
1029,provide,9,False,VERB,4.1866,False,
1065,impact,9,True,NOUN,4.1866,False,
5,food,8,True,NOUN,4.292,False,
54,baby,8,True,NOUN,4.292,False,
57,season,8,True,NOUN,4.292,False,
68,sea,8,True,NOUN,4.292,False,
69,turtle,8,True,PROPN,4.292,False,
73,trip,8,True,NOUN,4.292,False,
134,Mavericks,8,True,NOUN,4.292,False,
154,progress,8,False,VERB,4.292,False,
169,list,8,True,NOUN,4.292,False,
191,design,8,True,NOUN,4.292,False,
194,choose,8,False,VERB,4.292,False,
234,involve,8,False,VERB,4.292,False,
392,question,8,True,NOUN,4.292,False,
418,describe,8,False,VERB,4.292,False,
435,organization,8,True,NOUN,4.292,False,
540,inclusion,8,True,NOUN,4.292,False,
610,adjust,8,False,VERB,4.292,False,
632,road,8,True,NOUN,4.292,False,
633,bike,8,True,NOUN,4.292,False,
645,pair,8,False,VERB,4.292,False,
744,area,8,True,NOUN,4.292,False,
769,snack,8,True,NOUN,4.292,False,
819,support,8,False,VERB,4.292,False,
830,chili,8,True,NOUN,4.292,False,
831,combination,8,True,NOUN,4.292,False,
941,board,8,True,PROPN,4.292,False,
16,action,7,True,NOUN,4.4098,False,
34,visit,7,False,VERB,4.4098,False,
35,the Electric Storm,7,True,"DET,PROPN,PROPN",4.4098,False,
85,option,7,True,NOUN,4.4098,False,
87,oil,7,True,NOUN,4.4098,False,
126,up,7,False,ADV,4.4098,False,
136,difference,7,True,NOUN,4.4098,False,
142,mention,7,False,VERB,4.4098,False,
185,cabinet,7,True,PROPN,4.4098,False,
215,gender,7,True,NOUN,4.4098,False,
223,coupon,7,True,NOUN,4.4098,False,
241,leave,7,False,VERB,4.4098,False,
245,lamp,7,True,NOUN,4.4098,False,
287,case,7,True,NOUN,4.4098,False,
331,roommate,7,True,NOUN,4.4098,False,
349,chart,7,True,PROPN,4.4098,False,
356,chicken,7,True,NOUN,4.4098,False,
365,BBQ,7,True,PROPN,4.4098,False,
408,year,7,True,NOUN,4.4098,False,
416,energy,7,True,NOUN,4.4098,False,
536,attend,7,False,VERB,4.4098,False,
559,craft,7,False,VERB,4.4098,False,
584,episode,7,True,NOUN,4.4098,False,
624,sound,7,False,VERB,4.4098,False,
667,luxury,7,True,NOUN,4.4098,False,
716,running,7,False,VERB,4.4098,False,
763,notice,7,False,VERB,4.4098,False,
775,minute,7,True,NOUN,4.4098,False,
820,price,7,True,NOUN,4.4098,False,
829,cacao,7,True,PROPN,4.4098,False,
1310,non - yoga day,7,True,"PROPN,PUNCT,PROPN,NOUN",4.4098,False,
28,Tuscany,6,True,NOUN,4.5433,False,
36,band,6,True,NOUN,4.5433,False,
51,schedule,6,True,NOUN,4.5433,False,
99,supplement,6,False,VERB,4.5433,False,
117,earring,6,True,NOUN,4.5433,False,
124,pressure,6,True,NOUN,4.5433,False,
128,monitor,6,True,PROPN,4.5433,False,
131,mat,6,True,NOUN,4.5433,False,
149,hash,6,True,NOUN,4.5433,False,
159,extinction,6,True,NOUN,4.5433,False,
162,lead,6,False,VERB,4.5433,False,
200,expense,6,True,NOUN,4.5433,False,
205,receive,6,False,VERB,4.5433,False,
217,issue,6,True,NOUN,4.5433,False,
228,Alex,6,True,PROPN,4.5433,False,
262,decision,6,True,NOUN,4.5433,False,
264,dessert,6,True,NOUN,4.5433,False,
305,Rachel,6,True,PROPN,4.5433,False,
314,podcast,6,True,NOUN,4.5433,False,
333,come,6,False,VERB,4.5433,False,
383,walk,6,False,VERB,4.5433,False,
398,lake,6,True,PROPN,4.5433,False,
399,spot,6,True,PROPN,4.5433,False,
437,require,6,False,VERB,4.5433,False,
442,goal,6,True,NOUN,4.5433,False,
522,wolf,6,True,PROPN,4.5433,False,
553,fitness,6,True,NOUN,4.5433,False,
564,may,6,False,AUX,4.5433,False,
617,should,6,False,AUX,4.5433,False,
627,Luka,6,True,NOUN,4.5433,False,
628,Doncic,6,True,NOUN,4.5433,False,
666,feature,6,True,NOUN,4.5433,False,
669,ship,6,True,NOUN,4.5433,False,
681,mussel,6,True,NOUN,4.5433,False,
701,practice,6,False,VERB,4.5433,False,
803,organize,6,False,VERB,4.5433,False,
872,flooding,6,True,NOUN,4.5433,False,
943,Market,6,True,NOUN,4.5433,False,
1160,reach,6,False,VERB,4.5433,False,
9,reduce,5,False,VERB,4.6974,False,
21,damage,5,True,NOUN,4.6974,False,
26,cause,5,False,VERB,4.6974,False,
58,follow,5,False,VERB,4.6974,False,
62,dish,5,True,NOUN,4.6974,False,
65,serve,5,False,VERB,4.6974,False,
90,learn,5,False,VERB,4.6974,False,
94,thing,5,True,NOUN,4.6974,False,
103,dining,5,True,NOUN,4.6974,False,
106,mother,5,True,NOUN,4.6974,False,
116,pearl,5,True,PROPN,4.6974,False,
157,factor,5,True,NOUN,4.6974,False,
166,Bar,5,False,VERB,4.6974,False,
168,replacement,5,True,NOUN,4.6974,False,
188,Smokey,5,True,NOUN,4.6974,False,
203,relate,5,False,VERB,4.6974,False,
233,remember,5,False,VERB,4.6974,False,
248,Astros,5,True,NOUN,4.6974,False,
268,set,5,False,VERB,4.6974,False,
269,woman,5,True,NOUN,4.6974,False,
271,agree,5,False,VERB,4.6974,False,
275,Amazon,5,True,PROPN,4.6974,False,
288,study,5,True,NOUN,4.6974,False,
293,spell,5,False,VERB,4.6974,False,
306,Lucas,5,True,PROPN,4.6974,False,
344,flood,5,True,NOUN,4.6974,False,
346,wine,5,True,NOUN,4.6974,False,
352,blanket,5,True,NOUN,4.6974,False,
366,way,5,True,NOUN,4.6974,False,
415,performance,5,True,NOUN,4.6974,False,
436,prevent,5,False,VERB,4.6974,False,
492,mix,5,False,VERB,4.6974,False,
513,hummus,5,True,NOUN,4.6974,False,
521,space,5,True,NOUN,4.6974,False,
523,body,5,True,NOUN,4.6974,False,
524,language,5,True,NOUN,4.6974,False,
525,benefit,5,True,NOUN,4.6974,False,
531,concert,5,False,X,4.6974,False,
538,company,5,True,NOUN,4.6974,False,
541,statement,5,True,NOUN,4.6974,False,
554,tracker,5,True,PROPN,4.6974,False,
566,conflict,5,True,NOUN,4.6974,False,
573,email,5,True,NOUN,4.6974,False,
578,Max,5,True,PROPN,4.6974,False,
587,topic,5,True,NOUN,4.6974,False,
608,tool,5,True,NOUN,4.6974,False,
658,three,5,False,NUM,4.6974,False,
668,cruise,5,True,NOUN,4.6974,False,
747,process,5,True,NOUN,4.6974,False,
752,effect,5,True,NOUN,4.6974,False,
774,meeting,5,True,NOUN,4.6974,False,
783,target,5,True,NOUN,4.6974,False,
846,floor,5,True,NOUN,4.6974,False,
877,course,5,True,NOUN,4.6974,False,
915,bar,5,True,NOUN,4.6974,False,
1040,cat,5,True,NOUN,4.6974,False,
1183,International,5,True,PROPN,4.6974,False,
1258,ensure,5,False,VERB,4.6974,False,
6,waste,4,True,NOUN,4.8798,False,
8,cook,4,False,VERB,4.8798,False,
41,tennis,4,True,NOUN,4.8798,False,
52,gift,4,True,NOUN,4.8798,False,
95,having,4,False,VERB,4.8798,False,
102,light,4,True,NOUN,4.8798,False,
107,locket,4,True,NOUN,4.8798,False,
118,jewelry,4,True,NOUN,4.8798,False,
122,clean,4,True,ADJ,4.8798,False,
129,show,4,False,VERB,4.8798,False,
135,player,4,True,NOUN,4.8798,False,
145,communication,4,True,NOUN,4.8798,False,
167,disclaimer,4,True,NOUN,4.8798,False,
171,respond,4,False,VERB,4.8798,False,
173,hour,4,True,NOUN,4.8798,False,
175,method,4,True,NOUN,4.8798,False,
183,prepare,4,False,VERB,4.8798,False,
192,choice,4,True,NOUN,4.8798,False,
226,Alex ’s,4,True,"PROPN,NOUN",4.8798,False,
240,office,4,True,NOUN,4.8798,False,
243,bulb,4,True,PROPN,4.8798,False,
265,something,4,False,PRON,4.8798,False,
276,Prime,4,True,PROPN,4.8798,False,
292,sorcerer,4,False,VERB,4.8798,False,
295,save,4,False,VERB,4.8798,False,
312,contact,4,True,NOUN,4.8798,False,
330,mediator,4,True,NOUN,4.8798,False,
338,handle,4,False,VERB,4.8798,False,
347,love,4,True,NOUN,4.8798,False,
389,town,4,True,NOUN,4.8798,False,
396,house,4,True,PROPN,4.8798,False,
414,the Electric Storm 's,4,False,"DET,PROPN,PROPN,PART",4.8798,False,
428,Grade A Steakhouse,4,True,"PROPN,PROPN,PROPN",4.8798,False,
429,Grade,4,True,PROPN,4.8798,False,
430,Steakhouse,4,True,PROPN,4.8798,False,
434,government,4,True,NOUN,4.8798,False,
449,nine,4,False,NUM,4.8798,False,
452,interview,4,True,NOUN,4.8798,False,
463,state,4,True,NOUN,4.8798,False,
480,functionality,4,True,NOUN,4.8798,False,
491,indie,4,False,VERB,4.8798,False,
505,Umbria,4,True,PROPN,4.8798,False,
506,itinerary,4,True,PROPN,4.8798,False,
511,Tuesdays,4,False,VERB,4.8798,False,
512,Thursdays,4,True,NOUN,4.8798,False,
527,end,4,True,NOUN,4.8798,False,
544,message,4,True,NOUN,4.8798,False,
597,style,4,True,NOUN,4.8798,False,
607,item,4,True,NOUN,4.8798,False,
611,AR,4,True,PROPN,4.8798,False,
613,marketing,4,True,NOUN,4.8798,False,
616,structure,4,True,NOUN,4.8798,False,
625,enjoy,4,False,VERB,4.8798,False,
675,avoid,4,False,VERB,4.8798,False,
697,faucet,4,True,PROPN,4.8798,False,
700,mindfulness,4,True,NOUN,4.8798,False,
703,health,4,True,NOUN,4.8798,False,
717,changer,4,True,NOUN,4.8798,False,
724,maverick,4,True,NOUN,4.8798,False,
746,feedback,4,True,NOUN,4.8798,False,
767,chain,4,True,NOUN,4.8798,False,
780,everything,4,False,PRON,4.8798,False,
817,8:30 am,4,False,"NUM,AUX",4.8798,False,
824,top,4,True,ADJ,4.8798,False,
849,shooter,4,True,ADJ,4.8798,False,
857,name,4,True,NOUN,4.8798,False,
868,point,4,True,NOUN,4.8798,False,
874,LaraBar,4,True,PROPN,4.8798,False,
875,Kind,4,False,ADV,4.8798,False,
881,appreciate,4,False,VERB,4.8798,False,
890,family,4,True,NOUN,4.8798,False,
893,Nike,4,False,INTJ,4.8798,False,
894,Dri,4,True,PROPN,4.8798,False,
895,FIT,4,True,NOUN,4.8798,False,
896,sock,4,True,PROPN,4.8798,False,
921,getaway,4,False,VERB,4.8798,False,
930,first,4,False,ADV,4.8798,False,
950,sci,4,True,PROPN,4.8798,False,
951,fi,4,True,NOUN,4.8798,False,
1045,formation,4,True,NOUN,4.8798,False,
1050,predator,4,True,NOUN,4.8798,False,
1111,Instant,4,True,ADJ,4.8798,False,
1112,Pot,4,True,NOUN,4.8798,False,
1113,knife,4,True,NOUN,4.8798,False,
1117,customer,4,True,NOUN,4.8798,False,
1147,transition,4,True,NOUN,4.8798,False,
1173,level,4,True,NOUN,4.8798,False,
1181,the International Market,4,True,"DET,PROPN,PROPN",4.8798,False,
1212,8:15 am,4,False,"NUM,NOUN",4.8798,False,
1246,skill,4,True,NOUN,4.8798,False,
1277,type,4,True,NOUN,4.8798,False,
1311,7:45 am,4,False,"NUM,NOUN",4.8798,False,
1313,aim,4,False,VERB,4.8798,False,
1321,vocalization,4,True,NOUN,4.8798,False,
15,Netflix,3,True,NOUN,5.1029,False,
22,human,3,True,NOUN,5.1029,False,
32,Frantoio,3,True,PROPN,5.1029,False,
39,assistant,3,True,NOUN,5.1029,False,
42,racket,3,True,NOUN,5.1029,False,
47,shot,3,False,VERB,5.1029,False,
67,problem,3,True,NOUN,5.1029,False,
70,Europe,3,True,PROPN,5.1029,False,
77,history,3,True,NOUN,5.1029,False,
98,trainer,3,True,NOUN,5.1029,False,
101,talk,3,False,VERB,5.1029,False,
104,table,3,True,NOUN,5.1029,False,
111,15th,3,True,NOUN,5.1029,False,
123,blood,3,True,NOUN,5.1029,False,
127,reading,3,False,VERB,5.1029,False,
137,playoff,3,True,PROPN,5.1029,False,
148,miner,3,True,PROPN,5.1029,False,
153,solve,3,False,VERB,5.1029,False,
156,change,3,False,VERB,5.1029,False,
160,frustrate,3,False,VERB,5.1029,False,
189,’s,3,True,NOUN,5.1029,False,
208,regard,3,False,VERB,5.1029,False,
214,rewrite,3,False,VERB,5.1029,False,
216,violence,3,True,NOUN,5.1029,False,
237,sister,3,True,NOUN,5.1029,False,
238,guest,3,True,NOUN,5.1029,False,
266,win,3,False,VERB,5.1029,False,
277,rate,3,True,NOUN,5.1029,False,
280,deal,3,True,NOUN,5.1029,False,
285,face,3,False,VERB,5.1029,False,
289,continue,3,False,VERB,5.1029,False,
290,expand,3,False,VERB,5.1029,False,
300,shape,3,True,NOUN,5.1029,False,
303,live,3,True,ADJ,5.1029,False,
307,grandmother,3,True,NOUN,5.1029,False,
308,necklace,3,True,NOUN,5.1029,False,
313,crime,3,True,NOUN,5.1029,False,
322,10,3,False,NUM,5.1029,False,
323,Ibotta,3,False,VERB,5.1029,False,
334,acquire,3,False,VERB,5.1029,False,
343,industry,3,True,NOUN,5.1029,False,
350,website,3,True,NOUN,5.1029,False,
353,offer,3,False,VERB,5.1029,False,
358,Bitcoin,3,True,NOUN,5.1029,False,
361,roller,3,True,PROPN,5.1029,False,
362,March,3,True,PROPN,5.1029,False,
374,network,3,True,NOUN,5.1029,False,
380,off,3,False,ADP,5.1029,False,
391,10th,3,True,ADJ,5.1029,False,
417,crowd,3,False,VERB,5.1029,False,
432,habit,3,True,NOUN,5.1029,False,
433,update,3,True,NOUN,5.1029,False,
454,attribute,3,True,NOUN,5.1029,False,
475,example,3,True,NOUN,5.1029,False,
485,write,3,False,VERB,5.1029,False,
490,rock,3,True,NOUN,5.1029,False,
498,aquamarine,3,True,PROPN,5.1029,False,
499,ring,3,True,NOUN,5.1029,False,
502,Tuscany and Umbria,3,False,"PROPN,CCONJ,PROPN",5.1029,False,
515,cashback,3,True,NOUN,5.1029,False,
528,theory,3,True,NOUN,5.1029,False,
537,call,3,False,VERB,5.1029,False,
545,sport,3,True,NOUN,5.1029,False,
548,phone,3,True,NOUN,5.1029,False,
549,misinterpret,3,True,NOUN,5.1029,False,
598,decor,3,True,PROPN,5.1029,False,
605,breast,3,True,NOUN,5.1029,False,
620,opening,3,False,VERB,5.1029,False,
621,act,3,True,NOUN,5.1029,False,
626,Luka Doncic 's,3,False,"PROPN,PROPN,PART",5.1029,False,
629,impress,3,False,VERB,5.1029,False,
637,candle,3,True,NOUN,5.1029,False,
650,night,3,True,NOUN,5.1029,False,
652,ride,3,False,VERB,5.1029,False,
661,Luka Doncic,3,True,"PROPN,PROPN",5.1029,False,
665,maintain,3,False,VERB,5.1029,False,
680,determine,3,False,VERB,5.1029,False,
682,toxin,3,True,NOUN,5.1029,False,
683,themselves,3,False,PRON,5.1029,False,
684,produce,3,False,VERB,5.1029,False,
685,protect,3,False,VERB,5.1029,False,
718,jog,3,True,PROPN,5.1029,False,
728,team,3,True,NOUN,5.1029,False,
739,shop,3,True,NOUN,5.1029,False,
740,environment,3,True,NOUN,5.1029,False,
741,explanation,3,True,NOUN,5.1029,False,
745,exercise,3,True,NOUN,5.1029,False,
751,struggle,3,True,NOUN,5.1029,False,
753,tune,3,True,NOUN,5.1029,False,
771,eat,3,False,VERB,5.1029,False,
804,keep,3,False,VERB,5.1029,False,
808,Daily,3,True,PROPN,5.1029,False,
835,radiation,3,True,NOUN,5.1029,False,
836,therapy,3,True,NOUN,5.1029,False,
851,article,3,True,NOUN,5.1029,False,
873,Kind Bar,3,True,"PROPN,PROPN",5.1029,False,
876,wonder,3,True,NOUN,5.1029,False,
901,focus,3,False,VERB,5.1029,False,
920,battery,3,True,NOUN,5.1029,False,
922,joke,3,True,PROPN,5.1029,False,
942,Holiday,3,True,NOUN,5.1029,False,
944,complement,3,True,NOUN,5.1029,False,
971,route,3,True,NOUN,5.1029,False,
976,lot,3,True,NOUN,5.1029,False,
990,money,3,True,NOUN,5.1029,False,
999,7:30 be,3,False,"NUM,VERB",5.1029,False,
1041,touch,3,True,NOUN,5.1029,False,
1046,Underground Club,3,True,"PROPN,PROPN",5.1029,False,
1047,Underground,3,False,ADV,5.1029,False,
1048,Club,3,True,NOUN,5.1029,False,
1075,meal,3,True,NOUN,5.1029,False,
1083,playmaker,3,True,NOUN,5.1029,False,
1096,increase,3,True,NOUN,5.1029,False,
1108,led,3,False,VERB,5.1029,False,
1114,sale,3,True,NOUN,5.1029,False,
1130,pantry,3,True,NOUN,5.1029,False,
1150,marinade,3,True,NOUN,5.1029,False,
1163,term,3,True,NOUN,5.1029,False,
1167,market,3,True,NOUN,5.1029,False,
1177,maximize,3,False,VERB,5.1029,False,
1185,line,3,True,NOUN,5.1029,False,
1192,detail,3,True,NOUN,5.1029,False,
1195,confirm,3,False,VERB,5.1029,False,
1201,two,3,False,NUM,5.1029,False,
1218,7:45 AM,3,False,"NUM,NOUN",5.1029,False,
1240,leash,3,False,VERB,5.1029,False,
1244,daily,3,False,ADV,5.1029,False,
1307,adjustment,3,True,NOUN,5.1029,False,
1312,apply,3,False,VERB,5.1029,False,
1314,artisan,3,True,PROPN,5.1029,False,
1315,community,3,True,NOUN,5.1029,False,
1316,college,3,True,NOUN,5.1029,False,
1317,art,3,True,NOUN,5.1029,False,
1318,workshop,3,True,NOUN,5.1029,False,
1320,affection,3,True,NOUN,5.1029,False,
1322,40,3,False,NUM,5.1029,False,
1325,Petco,3,True,PROPN,5.1029,False,
1344,the year,3,True,"DET,NOUN",5.1029,False,
1346,infrastructure,3,True,NOUN,5.1029,False,
1356,convey,3,False,VERB,5.1029,False,
0,thank,2,False,VERB,5.3906,False,
3,say,2,False,VERB,5.3906,False,
11,Manchester,2,True,PROPN,5.3906,False,
12,City,2,True,NOUN,5.3906,False,
14,catch,2,False,VERB,5.3906,False,
29,Fattoria,2,True,NOUN,5.3906,False,
30,La,2,True,PROPN,5.3906,False,
31,Vialla,2,True,PROPN,5.3906,False,
33,Siena,2,True,PROPN,5.3906,False,
43,concern,2,True,NOUN,5.3906,False,
55,boy,2,True,NOUN,5.3906,False,
59,italian,2,True,PROPN,5.3906,False,
71,Italy,2,True,PROPN,5.3906,False,
76,repair,2,True,NOUN,5.3906,False,
83,Oleificio,2,True,PROPN,5.3906,False,
84,dell’Umbria,2,True,PROPN,5.3906,False,
86,olive,2,True,NOUN,5.3906,False,
88,production,2,True,NOUN,5.3906,False,
89,region,2,True,NOUN,5.3906,False,
91,taste,2,True,NOUN,5.3906,False,
97,research,2,True,NOUN,5.3906,False,
110,June,2,True,PROPN,5.3906,False,
112,wear,2,False,VERB,5.3906,False,
113,bruschetta,2,True,NOUN,5.3906,False,
